% 
% 
@RELATION Tamura 
@ATTRIBUTE 1 REAL
@ATTRIBUTE 2 REAL
@ATTRIBUTE 3 REAL
@ATTRIBUTE 4 REAL
@ATTRIBUTE 5 REAL
@ATTRIBUTE 6 REAL
@ATTRIBUTE 7 REAL
@ATTRIBUTE 8 REAL
@ATTRIBUTE 9 REAL
@ATTRIBUTE 10 REAL
@ATTRIBUTE 11 REAL
@ATTRIBUTE 12 REAL
@ATTRIBUTE 13 REAL
@ATTRIBUTE 14 REAL
@ATTRIBUTE 15 REAL
@ATTRIBUTE 16 REAL
@ATTRIBUTE 17 REAL
@ATTRIBUTE 18 REAL
@ATTRIBUTE class {C02, C01, C03} 

@DATA 
2.63330078125,2.5606211488580355,3281.0,28.0,27.0,62.0,43.0,28.0,28.0,32.0,21.0,27.0,20.0,78.0,65.0,37.0,30.0,37.0,C01
2.57080078125,2.3963194821759397,3332.0,22.0,19.0,50.0,36.0,27.0,45.0,51.0,34.0,41.0,27.0,45.0,33.0,25.0,24.0,33.0,C01
2.22607421875,2.3006842227897497,3313.0,45.0,39.0,70.0,44.0,28.0,28.0,53.0,21.0,22.0,23.0,34.0,30.0,26.0,34.0,34.0,C01
2.79736328125,2.978781648266446,3126.0,54.0,50.0,110.0,69.0,49.0,36.0,86.0,88.0,38.0,30.0,32.0,27.0,19.0,17.0,13.0,C01
2.85986328125,3.085522217407797,3098.0,64.0,50.0,105.0,56.0,21.0,17.0,48.0,93.0,59.0,40.0,72.0,46.0,27.0,22.0,26.0,C01
2.98681640625,4.3888077375920105,2690.0,64.0,68.0,151.0,99.0,99.0,92.0,130.0,47.0,89.0,74.0,88.0,42.0,30.0,44.0,37.0,C01
2.67333984375,3.252668516878118,3055.0,86.0,61.0,109.0,77.0,26.0,25.0,43.0,30.0,25.0,35.0,92.0,52.0,51.0,42.0,35.0,C01
2.86181640625,3.250951194736217,3106.0,43.0,51.0,64.0,32.0,18.0,17.0,55.0,62.0,28.0,32.0,87.0,58.0,47.0,66.0,78.0,C01
3.1298828125,4.250036315591179,2662.0,98.0,86.0,176.0,111.0,94.0,84.0,72.0,31.0,54.0,41.0,96.0,53.0,40.0,71.0,75.0,C01
2.72265625,3.665576489414592,2892.0,42.0,45.0,84.0,55.0,65.0,80.0,52.0,55.0,61.0,45.0,94.0,69.0,66.0,60.0,79.0,C01
2.9453125,3.801591697746723,2878.0,76.0,87.0,105.0,64.0,85.0,82.0,103.0,33.0,30.0,40.0,53.0,37.0,39.0,42.0,90.0,C01
2.626953125,2.848004506987694,3157.0,31.0,31.0,56.0,46.0,40.0,92.0,68.0,29.0,24.0,36.0,55.0,46.0,35.0,51.0,47.0,C01
2.6318359375,3.168802763226592,3095.0,20.0,46.0,82.0,40.0,24.0,23.0,73.0,42.0,34.0,41.0,68.0,66.0,53.0,60.0,77.0,C01
3.0810546875,3.759415830049508,2814.0,52.0,51.0,82.0,51.0,38.0,44.0,132.0,94.0,74.0,68.0,121.0,63.0,37.0,48.0,75.0,C01
2.63330078125,3.3275784998924065,3087.0,48.0,44.0,67.0,40.0,36.0,25.0,49.0,33.0,35.0,62.0,126.0,59.0,43.0,38.0,52.0,C01
2.67333984375,2.945481584033038,3164.0,35.0,44.0,85.0,60.0,32.0,36.0,49.0,18.0,26.0,40.0,83.0,60.0,41.0,33.0,38.0,C01
2.87548828125,4.38517782420764,2660.0,34.0,44.0,113.0,67.0,24.0,70.0,186.0,78.0,107.0,104.0,134.0,62.0,47.0,41.0,73.0,C01
2.75244140625,3.257519084958233,3044.0,23.0,24.0,35.0,33.0,34.0,21.0,43.0,44.0,56.0,61.0,130.0,100.0,54.0,73.0,69.0,C01
2.8271484375,3.0888907621718045,3084.0,31.0,25.0,35.0,19.0,26.0,25.0,39.0,25.0,32.0,66.0,124.0,77.0,66.0,98.0,72.0,C01
2.94775390625,3.934752937970755,2879.0,36.0,43.0,121.0,79.0,53.0,46.0,62.0,40.0,32.0,46.0,143.0,79.0,48.0,56.0,81.0,C01
3.06640625,4.586996521074025,2556.0,100.0,95.0,133.0,70.0,38.0,41.0,190.0,92.0,65.0,77.0,107.0,78.0,59.0,65.0,78.0,C01
3.1025390625,4.756215078477772,2653.0,102.0,58.0,100.0,64.0,60.0,75.0,110.0,74.0,77.0,109.0,139.0,69.0,37.0,36.0,81.0,C01
2.9111328125,3.362934287904592,3069.0,37.0,30.0,62.0,69.0,61.0,38.0,53.0,29.0,15.0,44.0,108.0,82.0,49.0,51.0,47.0,C01
3.19921875,4.677035030752699,2557.0,46.0,71.0,141.0,113.0,87.0,67.0,55.0,39.0,61.0,113.0,151.0,83.0,71.0,100.0,89.0,C01
3.1513671875,4.441763342498668,2715.0,64.0,67.0,115.0,79.0,50.0,46.0,82.0,61.0,55.0,65.0,123.0,84.0,67.0,75.0,96.0,C01
2.94970703125,4.375175713337022,2648.0,73.0,86.0,147.0,96.0,69.0,58.0,106.0,81.0,75.0,62.0,107.0,72.0,55.0,40.0,69.0,C01
3.14794921875,4.61456722615992,2596.0,55.0,65.0,116.0,75.0,53.0,60.0,173.0,61.0,47.0,54.0,124.0,86.0,84.0,84.0,111.0,C01
2.84619140625,3.7560902934733136,2945.0,76.0,78.0,90.0,88.0,44.0,36.0,78.0,99.0,41.0,45.0,87.0,34.0,29.0,32.0,42.0,C01
2.84423828125,3.752686393813732,2957.0,33.0,60.0,78.0,38.0,29.0,30.0,49.0,64.0,37.0,45.0,98.0,69.0,84.0,77.0,96.0,C01
2.748046875,3.5777965402709992,2961.0,47.0,53.0,111.0,94.0,63.0,45.0,35.0,25.0,26.0,54.0,98.0,69.0,65.0,42.0,56.0,C01
3.07177734375,4.9772486290808695,2399.0,32.0,39.0,97.0,113.0,91.0,42.0,238.0,75.0,46.0,74.0,171.0,110.0,108.0,126.0,83.0,C01
3.02880859375,4.285775857803139,2664.0,51.0,57.0,95.0,83.0,44.0,55.0,204.0,134.0,64.0,54.0,121.0,50.0,61.0,51.0,56.0,C01
